Brand,Family,Base Hardware,Edition Name,Official Name,Region,Colour,Release Date,Limited Edition,Commercial Release,Summary
Sony,PlayStation,PlayStation Portable,Piano Black,Sony PlayStation Portable (PSP-1000),Worldwide,Black,2004-12-12,No,Yes,"The Piano Black PSP was the original launch model of Sony's first handheld console. It introduced console-quality gaming, multimedia playback and UMD discs in a portable form factor."
Sony,PlayStation,PlayStation Portable,Ceramic White,Sony PlayStation Portable Ceramic White,Japan,White,2005,No,Yes,"The Ceramic White PSP was one of the earliest official colour variants, offering the same hardware as the launch model in a bright white finish."
Sony,PlayStation,PlayStation Portable,Pink,Sony PlayStation Portable Pink,Worldwide,Pink,2006,No,Yes,The Pink PSP was released to broaden the handheld's appeal with a vibrant official colour option while retaining identical hardware.
Sony,PlayStation,PlayStation Portable,Silver,Sony PlayStation Portable Silver,Worldwide,Silver,2006,No,Yes,The Silver PSP featured a metallic finish and became one of the most popular official PSP colour variants.
Sony,PlayStation,PlayStation Portable,Gold,Sony PlayStation Portable Gold,Japan,Gold,2007,No,Yes,The Gold PSP offered a premium metallic finish and was released in selected regions as an official retail colour.
Sony,PlayStation,PlayStation Portable,Blue,Sony PlayStation Portable Blue,Worldwide,Blue,2007,No,Yes,The Blue PSP introduced another official colour option while maintaining full compatibility with the PSP ecosystem.
Sony,PlayStation,PlayStation Portable,PSP Slim Piano Black,Sony PlayStation Portable (PSP-2000),Worldwide,Black,2007-09-20,No,Yes,"The PSP Slim redesigned the original PSP with a lighter, slimmer body, video-out support and increased memory while maintaining compatibility with existing games."
Sony,PlayStation,PlayStation Portable,PSP Slim Ice Silver,Sony PlayStation Portable Ice Silver,Worldwide,Silver,2007,No,Yes,The Ice Silver PSP Slim was a popular metallic finish for the redesigned PSP-2000 hardware.
Sony,PlayStation,PlayStation Portable,PSP Slim God of War: Chains of Olympus,Sony PSP God of War Entertainment Pack,Worldwide,Red,2008,Yes,Yes,"Released alongside God of War: Chains of Olympus, this official limited edition PSP featured a striking red finish and themed bundle contents."
Sony,PlayStation,PlayStation Portable,PSP Slim Final Fantasy VII: Crisis Core,Sony PSP Crisis Core Final Fantasy VII Edition,Japan,Silver,2007,Yes,Yes,This limited edition PSP celebrated the release of Crisis Core: Final Fantasy VII with exclusive artwork and branding.
Sony,PlayStation,PlayStation Portable,PSP-3000 Pearl White,Sony PlayStation Portable (PSP-3000) Pearl White,Worldwide,White,2008-10-15,No,Yes,The PSP-3000 introduced an improved display and built-in microphone. Pearl White was one of its most recognizable retail colour variants.
Sony,PlayStation,PlayStation Portable,PSP-3000 Vibrant Blue,Sony PlayStation Portable (PSP-3000) Vibrant Blue,Worldwide,Blue,2008,No,Yes,Vibrant Blue was an official PSP-3000 colour option featuring the updated handheld hardware.
Sony,PlayStation,PlayStation Portable,PSP-3000 Mystic Silver,Sony PlayStation Portable (PSP-3000) Mystic Silver,Worldwide,Silver,2008,No,Yes,Mystic Silver was an official PSP-3000 finish available in multiple regions.
Sony,PlayStation,PlayStation Portable,PSP go Piano Black,Sony PSP go,Worldwide,Black,2009-10-01,No,Yes,"The PSP go introduced a compact sliding design and downloadable games, eliminating the UMD drive in favour of digital distribution."
Sony,PlayStation,PlayStation Portable,PSP go Pearl White,Sony PSP go Pearl White,Worldwide,White,2009-10-01,No,Yes,The Pearl White PSP go offered the same digital-only handheld in a clean white finish.
